GLOB SHIP ID,GZM SHIP IDS,BGB SHIPVOYAGES
2142,,2575
2143,,2498
2144,,2044
2145,3885;3959;3985;3990;4063,
2146,3536,12976
2147,748;836;918;1014;1173;1300;1379;1587;1693,14604;15806;20282
2148,839,8761;9639
2149,1389,
2150,,5549;6160;6295;6332;6541;6570;6579;6678;6679;6680;6711;6732;6739;6879;7468;7469;8327;8336;10346;10347;10348;10621;10640;11086;11088;11224;11655
2151,,2269;2416;2449;2460;3329;4092
2152,5047,
2153,370,
2154,601,
2155,4461,
2156,,3107
2157,2387;2478;2557;2619;2670;2791;2857,12922;13090;13496;19451;19890;19960
2158,648;726;1194;1391;1490;1579;1673;1783;1968;2106;2189;2286;2382;2476;2553;2618;2731;2856,12423;15089;15102;15103;15108;16728;16804;16805;17443;17448;17494;17931;17932;18077;19120
2159,323;395;508,
2160,,939;1235
2161,,15855
2162,,15859
2163,,15860
2164,,15861
2165,,1236
2166,,12401
2167,,12046
2168,,6183
2169,,7140;9863;11135
2170,,12329
2171,,1989
2172,,12335
2173,,2249;2603
2174,,2600
2175,,2286
2176,,2602
2177,,10602;11913;12108;14007;14222;14465;15586;15594;15645;16016;16069;16129;16154;16156;16172;16301;16434;16445;16497;16580;16586;16632;17085;17093;17280;17339;17700;17756;18359
2178,,17403
2179,5044,
2180,1722;1818;1921;2111;2196;2218,
2181,4645,
2182,4721;4742;4792,
2183,,7619;7821;12879;13699;13705
2184,,2572;2727;2900;4392;4740;6068;8954;9276
2185,5221,
2186,1634,
2187,1525,
2188,,12017;15035
2189,,18119
2190,,15488;15494
2191,,18107
2192,,12342
2193,,19686
2194,,19684
2195,,19446
2196,,1294
2197,,19288
2198,,15260
2199,,16418
2200,,16419
2201,,11988
2202,,14247
2203,,14244
2204,,12536
2205,,17949
2206,,14245
2207,,8418;12266
2208,,11390
2209,,11987
2210,,19537
2211,,8270;8333
2212,,12269;12534
2213,,1293
2214,,15551
2215,,7605
2216,,11385
2217,,17827
2218,,14635;15552;18040
2219,,10344
2220,,16100
2221,,12163;12166;17278
2222,,19025
2223,,12370;12373;12374;12375
2224,,12372
2225,,931;3195;4862
2226,,1241
2227,,1275
2228,,12286
2229,,12292
2230,4181,
2231,588,
2232,4099,3099;5221;7859;8264;8823;10835;10958;11131
2233,,559;579
2234,3409;3459;3638;3687,11868;12303;12360;12890;12992;13241;13477;18944
2235,609;652;729;1065;1792-2;2289-2;2390-2;2469-2,
2236,320;368,
2237,,1137
2238,1642;2005;2115;2162;2267;2357,14124;15038;16613;16678;16972
2239,,291;294
2240,3778,
2241,,2968
2242,4178,
2243,,20014
2244,,10889
2245,,10890
2246,,2051
2247,,14587
2248,,2965;6426;6428;6436;9553
2249,,520
2250,,4204;4208;4217;4249;5008;5009;5038;5045;5047;5064;5065;5068;5970;5971;5997;6236;6250;6862;6864;6904;7282;7285;7318;8283;8287;8321;8516;8519;8520;8546;9806;9844;9849
2251,,6145
2252,,1237;2195;2247
2253,,1524
2254,325;523;566;696;813;932;1016;1161;1310;1453;1472;1599;1658;1762;1867;2009;2185;2282;2369;2533,9723;11318;14275;15269;15276
2255,,8148
2256,,482
